"","site","treatment","transect.point","dark.light","date","ghg","device","real.time","chamber_size","chamber.expansion","ref.redox","redox","air.temp_chamber","soil.temp_thermo","air.temp.phone","salinity","status.ch4","status.co2","status.n2o","status.fan","analyzed_minutes","flag","r2.ch4","rmse.ch4","r2.co2","rmse.co2","r2.h2o_lgr","rmse.h2o_lgr","r2.h2o_licor_ch4","rmse.h2o_licor_ch4","r2.n2o","rmse.n2o","r2.h2o_licor_n2o","rmse.h2o_licor_n2o","mean.tair","se.tair","mean.rh","se.rh","mean.tsoil","se.tsoil","mean.rad","se.rad","mean.vwc","se.vwc","area.m2","volume.m3","flux.ch4.umol","p.ch4","sd.ch4","se.ch4","flux.co2.mmol","p.co2","sd.co2","se.co2","flux.h2o.mmol_lgr","p.h2o_lgr","sd.h2o_lgr","se.h2o_lgr","flux.n2o.umol","p.n2o","sd.n2o","se.n2o","flux.h2o.mmol_licor_n2o","p.h2o_licor_n2o","sd.h2o_licor_n2o","se.h2o_licor_n2o","flux.h2o.mmol_licor_ch4","p.h2o_licor_ch4","sd.h2o_licor_ch4","se.h2o_licor_ch4"
"1","NES","g","5","L","19396","ch4","lgr","1675861260","0.5","100","330","-138","6",NA,"3",NA,"unknown","unknown","unknown","on","5","2","0.0306136837275323","0.00189512743509822","0.994432221450145","0.648563682224838","0.79027289191726","145.170426181742",NA,NA,NA,NA,NA,NA,"279",NA,NA,NA,"1.76","0.00785281265959317","236.65625","0.849604748790088","58.755625","0.0169796140022873","0.1534","0.082414","-7.85081747873858","0.00223811850778403","0.00683315919816745","0.000392554739104078","-202.053487873775","0","0.00233849123215385","0.00013434281112337","6569.10976830944","4.18832671060284e-104","0.523433208022845","0.0300704521078514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","NES","ng","5","L","19396","ch4","lgr","1675868700","0.5","100","330","299","2",NA,"3",NA,"unknown","unknown","unknown","on","5","2","0.24749555574288","0.00200410460087443","0.749882193117746","6.23236791375366","0.893532643757611","205.426753163889",NA,NA,NA,NA,NA,NA,"279",NA,NA,NA,"4.25","0","18.21125","3.25946619798907","57.475625","0.0100816975257147","0.1534","0.082414","26.8051362407758","2.37614462350474e-20","0.0072260923112243","0.000415128156641716","251.678295228944","1.39664784065418e-92","0.0224717142222248","0.00129096625117305","13879.4560125735","1.91711870441888e-148","0.74069620962382","0.042551885429837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","NES","g","5","L","19396","n2o","licor","1675861260","0.5","100","330","-138","6",NA,"3",NA,"unknown","unknown","unknown","on","5","4",NA,NA,NA,NA,NA,NA,NA,NA,"0.00204407067969179","0.237088558200035","0.446347707592719","71.370949858988","275",NA,NA,NA,"1.76","0.00785281265959317","236.65625","0.849604748790088","58.755625","0.0169796140022873","0.1534","0.082414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.254012192115674","0.434494059152862","0.00086730131108549","4.99904164971996e-05","1517.01988563827","2.82539868755664e-40","0.261084376471268","0.0150486532810324",NA,NA,NA,NA
"4","NES","ng","5","L","19396","n2o","licor","1675868700","0.5","100","330","299","2",NA,"3",NA,"unknown","unknown","unknown","on","5","2",NA,NA,NA,NA,NA,NA,NA,NA,"0.0147000649840668","0.347741637082454","0.774096257264263","22.9133040157428","275",NA,NA,NA,"4.25","0","18.21125","3.25946619798907","57.475625","0.0100816975257147","0.1534","0.082414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.00550396733914","0.035508463342418","0.00127208491228093","7.33217553944861e-05","-1004.09587286088","1.3504423186247e-98","0.0838198973625344","0.00483129856527173",NA,NA,NA,NA
"5","NES","g","1","L","19397","n2o","licor","1675927860","0.5","100","333","-20","0",NA,"0",NA,"unknown","unknown","unknown","on","6","2",NA,NA,NA,NA,NA,NA,NA,NA,"0.144327536165555","0.252962170777497","0.994586768678564","2.49448294333589","273",NA,NA,NA,"0.19","0","83.4851515151515","0.261319539538703","60.6048484848485","0.00484848484848475","0.1534","0.082414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.11993432618798","1.3290267498132e-07","0.000933180055068732","6.93627272327197e-05","1340.8724797925","8.32601222632309e-205","0.00920217328652467","0.000683992153662584",NA,NA,NA,NA
"6","NES","ng","1","L","19397","n2o","licor","1675933800","0.5","100","333","336","2.85",NA,"2",NA,"unknown","unknown","unknown","on","6","2",NA,NA,NA,NA,NA,NA,NA,NA,"0.0200611141932837","0.343560373996622","0.98466505517525","13.4934844280265","275.85",NA,NA,NA,"0.42030303030303","0.000303030303030303","156.21","0.694189766431472","54.5509090909091","0.00243722847608273","0.1534","0.082414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.96727743985226","0.00703092325032157","0.00125256972312652","6.5924722269817e-05","2127.63550356914","0","0.0491952254487624","0.00258922239204013",NA,NA,NA,NA
"7","NES","ng","2","L","19397","n2o","licor","1675936860","0.5","100","333","42","3",NA,"3",NA,"unknown","unknown","unknown","on","6","2",NA,NA,NA,NA,NA,NA,NA,NA,"0.0321670060766653","0.303975660096394","0.948922900817517","13.0468619743331","276",NA,NA,NA,"1.25515151515152","0.00492599036576026","95.7709090909091","2.02193742239532","96.46","0","0.1534","0.082414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.0898777537083","0.000617829187165968","0.00110764746889882","5.82972352052013e-05","1105.96730517663","5.78119337629494e-234","0.0475410552225162","0.00250216080118506",NA,NA,NA,NA
"8","NES","g","2","L","19397","n2o","licor","1675942800","0.5","100","333","329","3.9",NA,"4",NA,"unknown","unknown","unknown","on","6","2",NA,NA,NA,NA,NA,NA,NA,NA,"0.00567132674007427","0.439206606284827","0.986498048834958","4.54618016137662","276.9",NA,NA,NA,"0.58","0","76.3942424242424","0.18547493822322","75.0687878787879","0.0263741924181894","0.1534","0.082414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.650228815689232","0.153314309747689","0.00159520954432627","8.39583970698037e-05","761.757057462253","0","0.0165118417616682","0.000869044303245697",NA,NA,NA,NA
"9","NES","g","1","L","19397","ch4","lgr","1675927860","0.5","100","333","-20","0",NA,"0",NA,"unknown","unknown","unknown","on","6.5","4","0.254578540767355","0.00321546346207183","0.00434103124531604","0.785691811157612","0.545725730481074","198.165262267849",NA,NA,NA,NA,NA,NA,"273",NA,NA,NA,"0.19","0","83.4851515151515","0.261319539538703","60.6048484848485","0.00484848484848475","0.1534","0.082414","34.5060634299253","8.99611336102697e-27","0.0118441433303804","0.0005974579977797","0.952654150743027","0.192436481929488","0.00289409179566939","0.000145987619484149","3988.38945148159","5.51909418104768e-69","0.729940737031577","0.0368206394569794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","NES","ng","1","L","19397","ch4","lgr","1675933800","0.5","100","333","336","2.85",NA,"2",NA,"unknown","unknown","unknown","on","6.5","4","0.00611630201887927","0.0035723141881392","0.490331391929899","0.883256047519681","0.00533511592690776","224.33652409314",NA,NA,NA,NA,NA,NA,"275.85",NA,NA,NA,"0.42030303030303","0.000303030303030303","156.21","0.694189766431472","54.5509090909091","0.00243722847608273","0.1534","0.082414","-5.08933474405783","0.121665112779746","0.0130226504211596","0.000656905816603374","15.7333867089962","3.41955398633697e-59","0.00321985529083994","0.000162420214070798","-298.378973040992","0.148368691997658","0.817804923111908","0.0412528013472739",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
