"","coast","site","site_full","treatment","transect.point","date.insertion","date.retrieval","month.iris","month_name.iris","season.iris","campaign","sr_mean","sr_max","sr_min","sr_se","sr_0-10 cm","sr_20-30 cm","sr_40-50 cm","sr_10-20 cm","sr_50-60cm","sr_30-40 cm"
"1","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","1",2023-02-01,2023-04-01,"04","April","Spring","one",0.625588146548809,0.981058879392213,0.0438987627959555,0.0576458542728206,0.175727885244995,0.732369237617062,0.748043044552792,0.470393681081936,0.84746317608204,0.779531854714028
"2","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","1",2023-04-01,2023-05-01,"05","May","Spring","two",0.582614437724302,0.969030019646552,0.0219213025000957,0.068012811687433,0.0892433934404668,0.763864762327745,0.68962730042687,0.389142104262717,0.781950288773057,0.781858777114955
"3","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","1",2023-05-01,2023-07-01,"07","July","Summer","three",0.75806004841114,0.99361928644116,0.0492797099366182,0.0688840681953465,0.111177023173054,0.956293993757829,0.987162478045686,0.555929806008433,0.974536503975041,0.963260485506796
"4","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","1",2023-07-01,2023-08-01,"08","August","Summer","four",0.822260317461071,0.994141405277585,0.00144617937028799,0.0648577767974482,0.152519547682847,0.99157044984584,0.985572276251472,0.861059351418403,0.953902524351766,0.988937755216096
"5","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","1",2023-08-01,2023-09-01,"09","September","Autumn","five",0.939319655456563,0.994736829075677,0.550150336304265,0.0193527205225786,0.904994299258275,0.951724449609959,0.983104016142228,0.84095420007543,0.969217024449001,0.985923943204485
"6","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","1",2023-09-01,2023-11-01,"11","November","Autumn","six",0.723101401514112,0.991446424278176,0.330928242460997,0.0462860936062046,0.683176243000058,0.526264629844689,0.950158363254158,0.572016035510167,0.984390846392817,0.622602291082784
"7","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","1",2023-10-01,2023-12-01,"12","December","Winter","seven",0.851055125320016,0.991707109153587,0.233506557286681,0.0434392710397872,0.443249275848818,0.949694771578467,0.963251406258413,0.832746232712583,0.970930901804082,0.94645816371773
"8","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","2",2023-02-01,2023-04-01,"04","April","Spring","one",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","2",2023-04-01,2023-05-01,"05","May","Spring","two",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","2",2023-05-01,2023-07-01,"07","July","Summer","three",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","2",2023-07-01,2023-08-01,"08","August","Summer","four",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","2",2023-08-01,2023-09-01,"09","September","Autumn","five",0.355251338225557,0.977096985193554,0.0292820791240239,0.0667989836488957,0.128332161908519,0.159362113009761,0.570553133454678,0.103389042920993,0.860087464217112,0.30978411384228
"13","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","2",2023-09-01,2023-11-01,"11","November","Autumn","six",0.351833619174651,0.954581117181295,0.0154851652361091,0.0654851133191069,0.0618385490184136,0.196396929488063,0.535469835061962,0.139034649269064,0.93436665388801,0.243895098322396
"14","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","2",2023-10-01,2023-12-01,"12","December","Winter","seven",0.383685815091827,0.982361492856007,0.011853625718063,0.0735268805946586,0.0282272972236803,0.139280379075343,0.680442740192929,0.0933366689403538,0.974197952477355,0.386629852641303
"15","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","3",2023-02-01,2023-04-01,"04","April","Spring","one",0.275338466748904,0.880981574238411,0.0117132560815642,0.0666005799168114,0.0342739984047857,0.342153472698533,NA,0.0881514160742558,NA,0.550883504555472
"16","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","3",2023-04-01,2023-05-01,"05","May","Spring","two",0.148415356675697,0.647507017778372,0.00312760682856908,0.0353414707468178,0.0175098781211302,0.0676290477899142,0.225631171401095,0.0565870237181378,NA,0.166747241924418
"17","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","3",2023-05-01,2023-07-01,"07","July","Summer","three",0.10184706399891,0.353211984707366,0.0183753646428837,0.0216633085709057,0.0484570879538268,0.0965075626328572,NA,0.0604255272292179,NA,NA
"18","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","3",2023-07-01,2023-08-01,"08","August","Summer","four",0.139984721580611,0.574617120633614,0.00634955917919625,0.0426779572377682,0.0246705382944123,0.0504863288196674,NA,0.0459905630521695,NA,NA
"19","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","3",2023-08-01,2023-09-01,"09","September","Autumn","five",0.238230062812594,0.917097772679062,0.0166618753578632,0.0494782826820488,0.0755191238279748,0.14192646407318,0.457082050463365,0.0723540861509985,NA,0.399519210778867
"20","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","3",2023-09-01,2023-11-01,"11","November","Autumn","six",0.239321283271324,0.934513498467251,0.00220619283074778,0.0634504550930262,0.00818142267028493,0.063587133641147,0.44975691920923,0.0271570740801078,0.677805432474896,0.209439717552278
"21","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","3",2023-10-01,2023-12-01,"12","December","Winter","seven",0.41139524373259,0.977190308993621,0.00608733553482118,0.0733679991201223,0.0313835605608854,0.261234284875772,0.777457266805121,0.0646047416036628,0.92673545937374,0.40695614917636
"22","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","4",2023-02-01,2023-04-01,"04","April","Spring","one",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","4",2023-04-01,2023-05-01,"05","May","Spring","two",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","4",2023-05-01,2023-07-01,"07","July","Summer","three",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","4",2023-07-01,2023-08-01,"08","August","Summer","four",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
