"coast","site","site_full","treatment","transect.point","zone","date","time","datetime","fDOY","month.ghg","month_name.ghg","season.ghg","campaign","ghg","device","dark.light","status.ch4","status.co2","status.n2o","status.fan","flag","analyzed_minutes","area.m2","volume.m3","chamber_size","chamber.expansion","air.temp_chamber","air.temp.phone","soil.temp_thermo","salinity","ref.redox","redox","mean.tair","se.tair","mean.tairC","mean.rh","se.rh","mean.tsoil","se.tsoil","mean.rad","se.rad","mean.vwc","se.vwc","flux.ch4.umol","flux.ch4.umol.absolut","flux.ch4.umol.h","flux.ch4.mmol.h","flux.ch4.mmol.h.co2e","flux.ch4.mg.h","flux.ch4.mg.d","p.ch4","sd.ch4","se.ch4","r2.ch4","rmse.ch4","rmse.ch4_ppb","flux.co2.mmol","flux.co2.mmol.h","flux.co2.mg.h","flux.co2.mg.d","p.co2","sd.co2","se.co2","r2.co2","rmse.co2","flux.h2o.mmol_lgr","flux.h2o.mmol.h_lgr","p.h2o_lgr","sd.h2o_lgr","se.h2o_lgr","r2.h2o_lgr","rmse.h2o_lgr","flux.h2o.mmol_licor_ch4","flux.h2o.mmol.h_licor_ch4","p.h2o_licor_ch4","sd.h2o_licor_ch4","se.h2o_licor_ch4","r2.h2o_licor_ch4","rmse.h2o_licor_ch4","flux.n2o.umol","flux.n2o.umol.h","flux.n2o.mmol.h","flux.n2o.mmol.h.co2e","flux.n2o.mg.h","flux.n2o.mg.d","p.n2o","sd.n2o","se.n2o","r2.n2o","rmse.n2o","flux.h2o.mmol_licor_n2o","flux.h2o.mmol.h_licor_n2o","p.h2o_licor_n2o","sd.h2o_licor_n2o","se.h2o_licor_n2o","r2.h2o_licor_n2o","rmse.h2o_licor_n2o"
"North Sea","NES","Nessmersiel (NES)","Grazed","5",NA,2023-02-08,"15:01:00",2023-02-08 15:01:00,1675861260,"02","February","Winter","zero","ch4","lgr","L","unknown","unknown","unknown","on",2,5,0.1534,0.082414,0.5,100,6,3,NA,NA,330,-138,279,NA,6,NA,NA,1.76,0.00785281265959317,236.65625,0.849604748790088,58.755625,0.0169796140022873,-7.85081747873858,7.85081747873858,-0.327117394947441,-0.000327117394947441,-0.0104677566383181,-0.00523387831915905,-0.125613079659817,0.00223811850778403,0.00683315919816745,0.000392554739104078,0.0306136837275323,0.00189512743509822,1.89512743509822,-202.053487873775,-8.41889532807396,-370.431394435254,-8890.3534664461,0,0.00233849123215385,0.00013434281112337,0.994432221450145,0.648563682224838,6569.10976830944,273.712907012893,4.18832671060284e-104,0.523433208022845,0.0300704521078514,0.79027289191726,145.170426181742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Sea","NES","Nessmersiel (NES)","Grazed","5",NA,2023-02-08,"15:01:00",2023-02-08 15:01:00,1675861260,"02","February","Winter","zero","n2o","licor","L","unknown","unknown","unknown","on",4,5,0.1534,0.082414,0.5,100,6,3,NA,NA,330,-138,275,NA,2,NA,NA,1.76,0.00785281265959317,236.65625,0.849604748790088,58.755625,0.0169796140022873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254012192115674,0.0105838413381531,1.05838413381531e-05,0.00278355027193426,0.000465689018878736,0.0111765364530897,0.434494059152862,0.00086730131108549,4.99904164971996e-05,0.00204407067969179,0.237088558200035,1517.01988563827,63.2091619015946,2.82539868755664e-40,0.261084376471268,0.0150486532810324,0.446347707592719,71.370949858988
"North Sea","NES","Nessmersiel (NES)","Not grazed","5",NA,2023-02-08,"17:05:00",2023-02-08 17:05:00,1675868700,"02","February","Winter","zero","n2o","licor","L","unknown","unknown","unknown","on",2,5,0.1534,0.082414,0.5,100,2,3,NA,NA,330,299,275,NA,2,NA,NA,4.25,0,18.21125,3.25946619798907,57.475625,0.0100816975257147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00550396733914,0.0418959986391308,4.18959986391308e-05,0.0110186476420914,0.00184342394012176,0.0442421745629221,0.035508463342418,0.00127208491228093,7.33217553944861e-05,0.0147000649840668,0.347741637082454,-1004.09587286088,-41.83732803587,1.3504423186247e-98,0.0838198973625344,0.00483129856527173,0.774096257264263,22.9133040157428
"North Sea","NES","Nessmersiel (NES)","Grazed","1",NA,2023-02-09,"09:31:00",2023-02-09 09:31:00,1675927860,"02","February","Winter","zero","n2o","licor","L","unknown","unknown","unknown","on",2,6,0.1534,0.082414,0.5,100,0,0,NA,NA,333,-20,273,NA,0,NA,NA,0.19,0,83.4851515151515,0.261319539538703,60.6048484848485,0.00484848484848475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.11993432618798,0.171663930257833,0.000171663930257833,0.04514761365781,0.00755321293134463,0.181277110352271,1.3290267498132e-07,0.000933180055068732,6.93627272327197e-05,0.144327536165555,0.252962170777497,1340.8724797925,55.8696866580208,8.32601222632309e-205,0.00920217328652467,0.000683992153662584,0.994586768678564,2.49448294333589
"North Sea","NES","Nessmersiel (NES)","Not grazed","1",NA,2023-02-09,"11:10:00",2023-02-09 11:10:00,1675933800,"02","February","Winter","zero","n2o","licor","L","unknown","unknown","unknown","on",2,6,0.1534,0.082414,0.5,100,2.85,2,NA,NA,333,336,275.85,NA,2.85000000000002,NA,NA,0.42030303030303,0.000303030303030303,156.21,0.694189766431472,54.5509090909091,0.00243722847608273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.96727743985226,-0.0403032266605108,-4.03032266605108e-05,-0.0105997486117143,-0.00177334197306248,-0.0425602073534994,0.00703092325032157,0.00125256972312652,6.5924722269817e-05,0.0200611141932837,0.343560373996622,2127.63550356914,88.6514793153808,0,0.0491952254487624,0.00258922239204013,0.98466505517525,13.4934844280265
"North Sea","NES","Nessmersiel (NES)","Not grazed","2",NA,2023-02-09,"12:01:00",2023-02-09 12:01:00,1675936860,"02","February","Winter","zero","n2o","licor","L","unknown","unknown","unknown","on",2,6,0.1534,0.082414,0.5,100,3,3,NA,NA,333,42,276,NA,3,NA,NA,1.25515151515152,0.00492599036576026,95.7709090909091,2.02193742239532,96.46,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.0898777537083,-0.0454115730711792,-4.54115730711792e-05,-0.0119432437177201,-0.00199810921513188,-0.0479546211631652,0.000617829187165968,0.00110764746889882,5.82972352052013e-05,0.0321670060766653,0.303975660096394,1105.96730517663,46.0819710490262,5.78119337629494e-234,0.0475410552225162,0.00250216080118506,0.948922900817517,13.0468619743331
"North Sea","NES","Nessmersiel (NES)","Grazed","2",NA,2023-02-09,"13:40:00",2023-02-09 13:40:00,1675942800,"02","February","Winter","zero","n2o","licor","L","unknown","unknown","unknown","on",2,6,0.1534,0.082414,0.5,100,3.9,4,NA,NA,333,329,276.9,NA,3.89999999999998,NA,NA,0.58,0,76.3942424242424,0.18547493822322,75.0687878787879,0.0263741924181894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.650228815689232,-0.0270928673203847,-2.70928673203847e-05,-0.00712542410526117,-0.00119208616209693,-0.0286100678903262,0.153314309747689,0.00159520954432627,8.39583970698037e-05,0.00567132674007427,0.439206606284827,761.757057462253,31.7398773942605,0,0.0165118417616682,0.000869044303245697,0.986498048834958,4.54618016137662
"North Sea","NES","Nessmersiel (NES)","Grazed","1",NA,2023-02-09,"09:31:00",2023-02-09 09:31:00,1675927860,"02","February","Winter","zero","ch4","lgr","L","unknown","unknown","unknown","on",4,6.5,0.1534,0.082414,0.5,100,0,0,NA,NA,333,-20,273,NA,0,NA,NA,0.19,0,83.4851515151515,0.261319539538703,60.6048484848485,0.00484848484848475,34.5060634299253,34.5060634299253,1.43775264291355,0.00143775264291355,0.0460080845732337,0.0230040422866169,0.552097014878805,8.99611336102697e-27,0.0118441433303804,0.0005974579977797,0.254578540767355,0.00321546346207183,3.21546346207183,0.952654150743027,0.0396939229476261,1.74653260969555,41.9167826326932,0.192436481929488,0.00289409179566939,0.000145987619484149,0.00434103124531604,0.785691811157612,3988.38945148159,166.182893811733,5.51909418104768e-69,0.729940737031577,0.0368206394569794,0.545725730481074,198.165262267849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Sea","NES","Nessmersiel (NES)","Not grazed","1",NA,2023-02-09,"11:10:00",2023-02-09 11:10:00,1675933800,"02","February","Winter","zero","ch4","lgr","L","unknown","unknown","unknown","on",4,6.5,0.1534,0.082414,0.5,100,2.85,2,NA,NA,333,336,275.85,NA,2.85000000000002,NA,NA,0.42030303030303,0.000303030303030303,156.21,0.694189766431472,54.5509090909091,0.00243722847608273,-5.08933474405783,5.08933474405783,-0.212055614335743,-0.000212055614335743,-0.00678577965874377,-0.00339288982937189,-0.0814293559049253,0.121665112779746,0.0130226504211596,0.000656905816603374,0.00611630201887927,0.0035723141881392,3.5723141881392,15.7333867089962,0.655557779541508,28.8445422998264,692.269015195833,3.41955398633697e-59,0.00321985529083994,0.000162420214070798,0.490331391929899,0.883256047519681,-298.378973040992,-12.4324572100413,0.148368691997658,0.817804923111908,0.0412528013472739,0.00533511592690776,224.33652409314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Sea","NES","Nessmersiel (NES)","Not grazed","2",NA,2023-02-09,"12:01:00",2023-02-09 12:01:00,1675936860,"02","February","Winter","zero","ch4","lgr","L","unknown","unknown","unknown","on",4,6.5,0.1534,0.082414,0.5,100,3,3,NA,NA,333,42,276,NA,3,NA,NA,1.25515151515152,0.00492599036576026,95.7709090909091,2.02193742239532,96.46,0,51.158172615327,51.158172615327,2.13159052563862,0.00213159052563862,0.068210896820436,0.034105448410218,0.818530761845232,2.64377272764077e-77,0.00858751712505324,0.000433182936436856,0.588049870040034,0.00235696957153827,2.35696957153827,1.72357239585177,0.0718155164938237,3.15988272572824,75.8371854174779,0.0180477190968796,0.00287843752515545,0.000145197965994058,0.014216790430996,0.790029243792748,-3645.64748587237,-151.901978578015,1.76743917738278e-37,1.01326510502192,0.0511124632639001,0.342403069614889,278.105415763355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
